C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,12:00:00,REGULAR,0005200151,0001142369                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,16:00:00,REGULAR,0005200455,0001142421                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/17/2016,20:00:00,REGULAR,0005201220,0001142480                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,00:00:00,REGULAR,0005201406,0001142502                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,04:00:00,REGULAR,0005201418,0001142503                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,08:00:00,REGULAR,0005201463,0001142552                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,12:00:00,REGULAR,0005201644,0001142681                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,16:00:00,REGULAR,0005201906,0001142739                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/18/2016,20:00:00,REGULAR,0005202628,0001142802                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,00:00:00,REGULAR,0005202838,0001142828                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,04:00:00,REGULAR,0005202854,0001142829                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,08:00:00,REGULAR,0005202891,0001142874                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,12:00:00,REGULAR,0005203059,0001143021                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,16:00:00,REGULAR,0005203320,0001143078                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/19/2016,20:00:00,REGULAR,0005204043,0001143133                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,00:00:00,REGULAR,0005204249,0001143161                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,04:00:00,REGULAR,0005204274,0001143170                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,08:00:00,REGULAR,0005204315,0001143205                                             
A002,R051,02-00-01,59 ST,NQR456,BMT,05/20/2016,12:00:00,REGULAR,0005204487,0001143349                                             
